,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Date Filed 2016,File Name 2016,Url 2016,sentimento 2016,Date Filed 2017,File Name 2017,Url 2017,sentimento 2017,Date Filed 2018,File Name 2018,Url 2018,sentimento 2018,Date Filed 2019,File Name 2019,Url 2019,sentimento 2019,Date Filed 2020,File Name 2020,Url 2020,sentimento 2020,retorno_7d 2020,retorno_1d 2020,retorno_7d 2019,retorno_1d 2019,retorno_7d 2018,retorno_1d 2018,retorno_7d 2017,retorno_1d 2017,retorno_7d 2016,retorno_1d 2016
0,AMD,Advanced Micro Devices,reports,Information Technology,Semiconductors,Santa Clara; California,,2488,1969,2016-02-18,2488_0000002488-16-000111.mda,https://www.sec.gov/Archives/edgar/data/2488/0000002488-16-000111.txt,-2.32,2017-02-21,2488_0000002488-17-000043.mda,https://www.sec.gov/Archives/edgar/data/2488/0000002488-17-000043.txt,-0.46,2018-02-27,2488_0000002488-18-000042.mda,https://www.sec.gov/Archives/edgar/data/2488/0000002488-18-000042.txt,1.64,2019-02-08,2488_0000002488-19-000011.mda,https://www.sec.gov/Archives/edgar/data/2488/0000002488-19-000011.txt,3.26,2020-02-04,2488_0000002488-20-000008.mda,https://www.sec.gov/Archives/edgar/data/2488/0000002488-20-000008.txt,3.00,0.12,0.04,0.04,0.01,-0.05,-0.02,0.00,0.00,0.07,0.01
1,ED,Consolidated Edison,reports,Utilities,Electric Utilities,New York City; New York,,1047862,1823,2016-02-18,1047862_0001047862-16-000225.mda,https://www.sec.gov/Archives/edgar/data/1047862/0001047862-16-000225.txt,0.03,2017-02-16,1047862_0001047862-17-000029.mda,https://www.sec.gov/Archives/edgar/data/1047862/0001047862-17-000029.txt,-0.69,2018-02-15,1047862_0001047862-18-000037.mda,https://www.sec.gov/Archives/edgar/data/1047862/0001047862-18-000037.txt,0.15,2019-02-21,1047862_0001047862-19-000035.mda,https://www.sec.gov/Archives/edgar/data/1047862/0001047862-19-000035.txt,0.71,2020-02-20,1047862_0001047862-20-000041.mda,https://www.sec.gov/Archives/edgar/data/1047862/0001047862-20-000041.txt,0.78,-0.11,-0.04,0.04,0.04,0.00,0.02,0.03,0.00,0.04,0.01
2,GLW,Corning,reports,Information Technology,Electronic Components,Corning; New York,,24741,1851,2016-02-12,24741_0000024741-16-000077.mda,https://www.sec.gov/Archives/edgar/data/24741/0000024741-16-000077.txt,0.17,2017-02-06,24741_0000024741-17-000011.mda,https://www.sec.gov/Archives/edgar/data/24741/0000024741-17-000011.txt,0.55,2018-02-15,24741_0000024741-18-000010.mda,https://www.sec.gov/Archives/edgar/data/24741/0000024741-18-000010.txt,2.29,2019-02-12,24741_0000024741-19-000016.mda,https://www.sec.gov/Archives/edgar/data/24741/0000024741-19-000016.txt,3.51,2020-02-18,24741_0000024741-20-000014.mda,https://www.sec.gov/Archives/edgar/data/24741/0000024741-20-000014.txt,-0.08,-0.08,0.00,0.03,0.02,-0.01,0.00,0.00,0.00,0.04,0.00
3,DHR,Danaher Corporation,reports,Health Care,Health Care Equipment,Washington; D.C.,,313616,1969,2016-02-24,313616_0000313616-16-000145.mda,https://www.sec.gov/Archives/edgar/data/313616/0000313616-16-000145.txt,3.45,2017-02-22,313616_0000313616-17-000066.mda,https://www.sec.gov/Archives/edgar/data/313616/0000313616-17-000066.txt,3.52,2018-02-21,313616_0000313616-18-000038.mda,https://www.sec.gov/Archives/edgar/data/313616/0000313616-18-000038.txt,4.21,2019-02-21,313616_0000313616-19-000035.mda,https://www.sec.gov/Archives/edgar/data/313616/0000313616-19-000035.txt,4.09,2020-02-21,313616_0000313616-20-000041.mda,https://www.sec.gov/Archives/edgar/data/313616/0000313616-20-000041.txt,4.18,-0.10,-0.02,0.13,0.01,0.01,0.01,0.03,0.00,0.04,0.01
4,DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,Orlando; Florida,,940944,1938,2016-07-25,940944_0000940944-16-000116.mda,https://www.sec.gov/Archives/edgar/data/940944/0000940944-16-000116.txt,0.00,2017-07-21,940944_0000940944-17-000027.mda,https://www.sec.gov/Archives/edgar/data/940944/0000940944-17-000027.txt,3.37,2018-07-20,940944_0000940944-18-000050.mda,https://www.sec.gov/Archives/edgar/data/940944/0000940944-18-000050.txt,2.43,2019-07-19,940944_0000940944-19-000025.mda,https://www.sec.gov/Archives/edgar/data/940944/0000940944-19-000025.txt,2.37,2020-07-24,940944_0000940944-20-000046.mda,https://www.sec.gov/Archives/edgar/data/940944/0000940944-20-000046.txt,-3.16,0.00,0.00,0.02,0.01,-0.04,-0.01,-0.06,-0.03,-0.02,-0.04
5,D,Dominion Energy,reports,Utilities,Electric Utilities,Richmond; Virginia,,715957,1983,2016-02-26,715957_0001193125-16-480850.mda,https://www.sec.gov/Archives/edgar/data/715957/0001193125-16-480850.txt,-4.04,2017-02-28,715957_0001193125-17-060413.mda,https://www.sec.gov/Archives/edgar/data/715957/0001193125-17-060413.txt,-0.08,2018-02-27,715957_0001193125-18-059578.mda,https://www.sec.gov/Archives/edgar/data/715957/0001193125-18-059578.txt,-2.97,2019-02-28,715957_0001193125-19-057924.mda,https://www.sec.gov/Archives/edgar/data/715957/0001193125-19-057924.txt,-1.40,2020-02-28,715957_0001193125-20-054469.mda,https://www.sec.gov/Archives/edgar/data/715957/0001193125-20-054469.txt,-1.53,0.07,0.04,0.02,0.01,-0.04,-0.03,-0.01,-0.01,-0.02,-0.03
6,ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,Dublin; Ireland,,1551182,1911,2016-02-24,1551182_0001551182-16-000041.mda,https://www.sec.gov/Archives/edgar/data/1551182/0001551182-16-000041.txt,0.00,2017-02-22,1551182_0001551182-17-000014.mda,https://www.sec.gov/Archives/edgar/data/1551182/0001551182-17-000014.txt,0.00,2018-02-28,1551182_0001551182-18-000074.mda,https://www.sec.gov/Archives/edgar/data/1551182/0001551182-18-000074.txt,0.00,2019-02-27,1551182_0001551182-19-000045.mda,https://www.sec.gov/Archives/edgar/data/1551182/0001551182-19-000045.txt,0.00,2020-02-26,1551182_0001551182-20-000050.mda,https://www.sec.gov/Archives/edgar/data/1551182/0001551182-20-000050.txt,0.00,0.00,-0.05,0.01,-0.01,-0.01,-0.03,0.02,0.00,0.02,0.01
7,ES,Eversource Energy,reports,Utilities,Multi-Utilities,Hartford; Connecticut,,72741,1966,2016-02-26,72741_0000072741-16-000063.mda,https://www.sec.gov/Archives/edgar/data/72741/0000072741-16-000063.txt,1.84,2017-02-23,72741_0000072741-17-000007.mda,https://www.sec.gov/Archives/edgar/data/72741/0000072741-17-000007.txt,0.81,2018-02-26,72741_0000072741-18-000028.mda,https://www.sec.gov/Archives/edgar/data/72741/0000072741-18-000028.txt,0.49,2019-02-26,72741_0000072741-19-000017.mda,https://www.sec.gov/Archives/edgar/data/72741/0000072741-19-000017.txt,0.36,2020-02-27,72741_0000072741-20-000008.mda,https://www.sec.gov/Archives/edgar/data/72741/0000072741-20-000008.txt,0.90,0.04,-0.07,-0.01,0.00,-0.02,-0.02,0.02,0.02,-0.02,-0.04
8,FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,Cincinnati; Ohio,,35527,1858,2016-02-25,35527_0001193125-16-478543.mda,https://www.sec.gov/Archives/edgar/data/35527/0001193125-16-478543.txt,0.00,2017-02-24,35527_0001193125-17-056318.mda,https://www.sec.gov/Archives/edgar/data/35527/0001193125-17-056318.txt,0.00,2018-02-28,35527_0001193125-18-062301.mda,https://www.sec.gov/Archives/edgar/data/35527/0001193125-18-062301.txt,0.00,2019-03-01,35527_0001193125-19-059441.mda,https://www.sec.gov/Archives/edgar/data/35527/0001193125-19-059441.txt,0.53,2020-03-02,35527_0001193125-20-057751.mda,https://www.sec.gov/Archives/edgar/data/35527/0001193125-20-057751.txt,1.69,-0.29,-0.05,-0.03,-0.01,0.01,-0.01,0.01,0.00,0.12,0.04
9,FE,FirstEnergy,reports,Utilities,Electric Utilities,Akron; Ohio,,1031296,1997,2016-02-16,1031296_0001031296-16-000071.mda,https://www.sec.gov/Archives/edgar/data/1031296/0001031296-16-000071.txt,-0.30,2017-02-21,1031296_0001031296-17-000015.mda,https://www.sec.gov/Archives/edgar/data/1031296/0001031296-17-000015.txt,-2.29,2018-02-20,1031296_0001031296-18-000015.mda,https://www.sec.gov/Archives/edgar/data/1031296/0001031296-18-000015.txt,-2.11,2019-02-19,1031296_0001031296-19-000010.mda,https://www.sec.gov/Archives/edgar/data/1031296/0001031296-19-000010.txt,1.47,2020-02-10,1031296_0001031296-20-000008.mda,https://www.sec.gov/Archives/edgar/data/1031296/0001031296-20-000008.txt,0.81,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
